Run,Max Qualities,Avg Qualities,SoS Qualities,botkm,logchanTM_E,logchanTM_N,logchanTM_S,logchanTM_W,logFTM_CF006,logFTM_CF007,logFTM_SSF016,logFTM_SSF017,logFTM_SSF018,logFTM_SSF019,logFTM_SSF020,logFTM_SSF021,logFTM_SSF023,logFTM_SSF024,oilvismult,permmult,permmult_asph,PX1,PX2,PY1,PY2,topk,wpimult_2s,X1,X2,Y1,Y2
Scope1,66.70945739746094,23.947494506835938,5409.431607611594,0.5,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,0.8,0.1,27.0,57.0,15.0,41.0,20.0,0.9,27.0,57.0,15.0,41.0
Scope2,261.5685122013092,63.845631970299614,60418.48963839561,0.5024660407199842,-5.49652300456464,-4.393584788447628,-0.8461541669443378,-0.6677184861352323,-0.8126163473176318,0.0,-1.4674416591711061,-2.637345461782034,-4.354482615588324,-1.1174178330653577,-2.6466827745852095,-2.1926974232637,0.0,-2.8357396434652262,1.0,0.22640624990526353,0.09663770548375712,37.0,58.0,2.0,32.0,44.0,0.48164422986703,23.0,51.0,4.0,35.0
Scope3,35.99212646484375,14.28463406032986,1596.1829215229955,0.994259619642049,-0.7453485270525544,-1.8126139730037423,-1.5651678094535404,-2.2642073621030763,-5.301700805722218,0.0,-3.545799388626188,-3.880919128072254,-5.852424201789366,-2.719759735919075,-4.573691180005614,-4.538606703283776,0.0,-4.08403358275047,1.0,0.797901883678027,0.2860452815617738,22.0,54.0,29.0,42.0,67.0,0.5309630648974137,38.0,60.0,13.0,46.0
Scope4,261.5685122013092,78.18851391474406,62687.8164145546,0.5356987419271233,-1.7194528683801664,-1.0428246781759745,-4.06663036511259,-3.7692088580772842,-4.738672876400862,0.0,-0.8961362937782757,-3.479639434103156,-2.473807262175696,-1.6275160999184823,-4.84986172759236,-3.075586762782663,0.0,-3.2353820168086003,1.0,0.1580300945832617,0.33447046310667916,36.0,49.0,7.0,43.0,62.0,0.5347539125040207,25.0,67.0,7.0,36.0
Scope5,107.23323059082031,32.588492499457466,10794.684761756682,0.619990187412584,-5.72293917235251,-1.3472777989212839,-1.1611219165225863,-3.852206124271932,-3.188933579613963,0.0,-2.2437380575476,-0.7997799178665117,-4.461287206990583,-4.276691640823116,-2.0094620755939077,-4.8410820455535,0.0,-0.837060614495682,1.0,0.2726443823523858,0.4982576282221496,35.0,62.0,13.0,40.0,41.0,0.5632762362953407,22.0,70.0,3.0,47.0
Scope6,39.83464050292969,13.033157348632812,1586.0557177622104,0.635856896361391,-5.557560886315224,-4.692643303575414,-5.619462533231874,-1.972715588050158,-1.9294319182731776,0.0,-0.2578552053062877,-0.20231364619947012,-5.215350381716358,-1.4678201314123802,-3.4588397391183916,-0.6832758835194124,0.0,-4.4538352233399,1.0,0.994960937671176,0.13152062906869805,38.0,52.0,9.0,36.0,28.0,0.40795869318451905,37.0,43.0,19.0,50.0
Scope7,47.630615234375,17.74117194281684,2419.5767773232656,0.731035082611557,-1.9775742745342324,-5.111318402060826,-0.22582306047696576,-0.4205532482441221,-4.297832469811932,0.0,-4.857640864385592,-5.600975230080738,-0.39927816345586287,-0.7464456948453364,-0.8584664466979497,-0.3976023959185202,0.0,-1.970192278563042,1.0,0.544203036200685,0.06436343768362741,34.0,44.0,20.0,30.0,71.0,0.3268793344034117,27.0,57.0,12.0,33.0
Scope8,56.24761962890625,40.82844712999132,8099.780384690035,0.93015099737826,-1.8629528002520521,-3.1038299743124833,-5.932908583461534,-1.516149087203436,-1.2496757438389015,0.0,-1.8559880048980748,-3.97379911736823,-2.614473596534344,-4.348774536472067,-2.763005335117948,-3.3439128516833003,0.0,-1.26686736737574,1.0,0.6085387424523904,0.030075969412558304,27.0,66.0,25.0,38.0,62.0,0.5067609717867526,24.0,70.0,10.0,37.0
Scope9,157.37188720703125,128.16619279649524,77177.09596516241,0.36567243185124,-1.8182514091153372,-4.63543775895402,-2.8368743035685866,-1.7980867175902322,-4.358526059480711,0.0,-0.17660464779794438,-3.368629400528715,-3.157431416624629,-0.17973708675832167,-5.42238432727194,-3.884416496827878,0.0,-5.564707462037718,1.0,0.13473415057818094,0.012787338218199775,32.0,42.0,14.0,50.0,25.0,0.6271427628241233,25.0,55.0,28.0,34.0
Scope10,246.18074226379395,114.31977783309088,77458.47957904663,0.720080170989194,-4.259667765230616,-5.745495643052994,-5.055657306350004,-3.51381077630274,-3.417229874269993,0.0,-0.7118789750130006,-1.3694228919967921,-2.9796337265576733,-5.79270558697236,-1.1959184701766468,-2.050809219858684,0.0,-5.174334870637782,1.0,0.13764303842227346,0.0801144248572081,35.0,44.0,2.0,49.0,66.0,0.9164350463597781,28.0,59.0,17.0,44.0
Scope11,61.97319030761719,32.799368964301216,5987.793066265876,0.4659665130663279,-1.4846658962058177,-1.92859488389169,-4.714518822212682,-4.7007089290412765,-1.4248903896094323,0.0,-5.829210236118114,-1.4816188509056154,-0.5722286774040128,-5.052353986904406,-4.184251684826879,-3.0543421167794524,0.0,-5.487902199747894,1.0,0.11462264480269926,0.21534676469536898,37.0,47.0,13.0,50.0,22.0,0.7363512757942232,30.0,42.0,3.0,45.0
Scope12,22.085403442382812,6.080145941840278,379.6237594813574,0.951812431823226,-2.8686830788119884,-1.6653994857014816,-1.8122309749117198,-1.2409218058110536,-1.740054356491032,0.0,-3.8355427533325024,-5.194178646274182,-5.25513857595828,-3.7233400537527004,-3.0659047702486144,-0.6090046502912827,0.0,-2.6640061213991775,1.0,0.5364577257922867,0.019577071932625967,25.0,59.0,27.0,34.0,39.0,0.9959324067525892,37.0,40.0,29.0,47.0
Scope13,18.083404541015625,9.466052585177952,597.5350705749588,0.815401812436426,-0.15120447152539196,-0.8226417228461882,-4.437419517492702,-4.242641755633404,-3.668516135935524,0.0,-4.67493053089491,-3.2599227673103885,-1.5283154216989923,-2.998172962879756,-2.382712386121086,-5.487361781837244,0.0,-0.06476805625756832,1.0,0.9018549884288801,0.05125674218897689,23.0,67.0,26.0,31.0,66.0,0.9612201796976845,30.0,61.0,20.0,38.0
