Run,Max Qualities,Avg Qualities,SoS Qualities,botkm,logchanTM_E,logchanTM_N,logchanTM_S,logchanTM_W,logFTM_CF006,logFTM_CF007,logFTM_SSF016,logFTM_SSF017,logFTM_SSF018,logFTM_SSF019,logFTM_SSF020,logFTM_SSF021,logFTM_SSF023,logFTM_SSF024,oilvismult,permmult,permmult_asph,PX1,PX2,PY1,PY2,topk,wpimult_2s,X1,X2,Y1,Y2
Scope1,66.70945739746094,23.947494506835938,5409.431607611594,0.5,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,0.8,0.1,27.0,57.0,15.0,41.0,20.0,0.9,27.0,57.0,15.0,41.0
Scope2,212.7932152748108,106.10255882475111,63261.537920727074,0.143039851557065,-2.715619869136468,-5.963312768351532,-2.846575168014419,-2.7098576541129478,-1.142013697251408,0.0,-4.862220652709226,-3.6652485895044418,-1.2789934749926104,-1.7636902714212361,-5.73484697984256,-2.6340667774216016,0.0,-1.01171526137664,1.0,0.2874738352673588,0.6330095530437114,34.0,46.0,8.0,34.0,42.0,0.5319814699015457,25.0,41.0,20.0,32.0
Scope3,25.024169921875,8.952885945638021,599.1487314236583,0.33178723880829,-0.20390086986389377,-0.5212500188034053,-4.204975949119542,-4.0749057960511195,-1.4094801388475755,0.0,-0.2531440124693223,-0.24236960479358416,-1.43305090747182,-3.2586578268187187,-3.13617167885036,-1.5330334884093535,0.0,-3.5767954979309486,1.0,0.150682158319562,0.18982099526230825,25.0,70.0,23.0,36.0,14.0,0.9419330091031886,29.0,52.0,15.0,42.0
Scope4,261.5685122013092,89.63014904658,68565.89576916827,0.4165172592447116,-3.67511882376501,-2.5967311575589886,-3.730407673969116,-2.0828912337732897,-1.0324358062415042,0.0,-4.114206802289706,-4.496985440178072,-3.870156493674162,-2.922456505995,-1.7173815942684598,-0.12659892883910384,0.0,-0.0877867038640261,1.0,0.1562045625871263,0.2005986842550283,28.0,43.0,15.0,44.0,71.0,0.831684480423194,38.0,65.0,5.0,39.0
Scope5,44.90727233886719,12.574193318684896,1852.6577610973036,0.631310534251991,-4.197451028672472,-0.9745681298920319,-1.0900621295191621,-4.289151361026677,-0.06647904648157876,0.0,-4.408919879867538,-0.5937669023320797,-0.8064236971401,-0.8828543348456037,-1.1738740121214182,-2.0607225210383278,0.0,-0.43020362161154413,1.0,0.18688472619384225,0.46409087255840237,36.0,68.0,29.0,37.0,30.0,0.42215386007959116,29.0,41.0,14.0,45.0
Scope6,128.71607971191406,32.255804273817276,15903.25064778133,0.09004776479442,-1.4005034410033197,-2.547917165902157,-1.8618091344219412,-2.515410287139318,-2.3740854521770443,0.0,-2.0070227349970318,-5.511569354703282,-5.990097660841494,-0.32671308796301446,-0.17438040041158231,-4.043554303492254,0.0,-3.3007316564610654,1.0,0.6321127089285024,0.052144448788427444,37.0,43.0,6.0,39.0,46.0,0.9442579100920458,30.0,41.0,23.0,49.0
Scope7,259.24833607673645,65.95110570059882,60590.67560238007,0.66787282237726,-1.4813215110485638,-4.737428463987336,-2.628421716348202,-3.509339287356141,-1.777449938815458,0.0,-0.7312135086563458,-2.37584317717128,-3.359122308049686,-1.7024546088349437,-3.93693594783141,-5.466672205046706,0.0,-4.763340303365791,1.0,0.15913663132180283,0.027935246962822333,37.0,66.0,29.0,31.0,45.0,0.3526034081660927,35.0,38.0,9.0,49.0
Scope8,67.28494262695312,50.503670586480034,12475.381789206876,0.605768648888888,-2.025644842082196,-2.053302709494474,-0.7093243519075791,-5.837360343656256,-0.3973688616260702,0.0,-4.991165235988416,-0.3609487237914788,-2.666176993088986,-3.9597018215474638,-1.6604019140087996,-4.985557611821214,0.0,-0.370498131276948,1.0,0.3298400802737679,0.012144203490056868,25.0,40.0,2.0,40.0,31.0,0.905901698112384,29.0,40.0,14.0,50.0
Scope9,109.92633056640625,34.330446031358505,11171.115769074182,0.23866851073528,-3.620669145635136,-4.257043915005666,-0.23184172165651784,-1.6774916857523525,-4.601396787136451,0.0,-5.104875595228308,-4.508416813381644,-3.0772462345443707,-5.086848745398348,-3.0947401358014788,-4.186001982490626,0.0,-3.245490869014082,1.0,0.5715179742013664,0.020316810861217293,25.0,45.0,9.0,49.0,44.0,0.46971556450329666,36.0,48.0,5.0,46.0
Scope10,92.33731079101562,25.226764255099827,8343.561306027812,0.754138169638053,-5.72071108897401,-0.8904442911111783,-0.8913508999024025,-0.8093924018167016,-3.8243411205902103,0.0,-3.376843770012144,-4.076686136706432,-4.1548839858071585,-5.104754958513432,-0.7147173979322456,-5.32192641435207,0.0,-5.132264159845872,1.0,0.40789065480381576,0.04419991572473935,29.0,64.0,26.0,30.0,74.0,0.7519441123582364,24.0,65.0,6.0,30.0
Scope11,59.14842224121094,46.677732679578995,10471.380846272572,0.30739534820854497,-5.219773610442156,-5.014504177183116,-3.93816172608585,-3.0233335027362616,-3.152391797140588,0.0,-1.6898787188983437,-4.362124002906912,-3.562123642415208,-3.7644101570633524,-3.3770569975785576,-1.3283967753095816,0.0,-4.545473954416482,1.0,0.24035699792487833,0.7624896213438443,27.0,61.0,18.0,49.0,29.0,0.5543747620449748,33.0,63.0,21.0,31.0
Scope12,261.5685122013092,73.92360268698798,63735.384447297896,0.4348346989498514,-4.695495034736339,-4.9156540135610935,-5.279432011857132,-2.7990877080825722,-5.5370145680753105,0.0,-0.5143674549107518,-1.537139477800812,-4.290412478224794,-2.4430095105632157,-0.5494873125137216,-3.4155181192391946,0.0,-4.8677637519768595,1.0,0.2295726834537959,0.037660907037558276,37.0,57.0,17.0,35.0,47.0,0.7144841906921267,37.0,69.0,7.0,49.0
